ID,longitude,Feature1,Feature2
1,,1,1
2,,2,2
3,,3,3
4,,4,4
5,,5,5
6,,6,6
7,,7,7
8,,8,8
9,,9,9
10,-121.4918375,10,10
11,-121.4546045,11,11
12,-121.4314528,12,12
13,-121.5488201,13,13
14,-121.4142729,14,14
15,-121.3923987,15,15
16,-121.4495097,16,16
17,-121.4234749,17,17
18,,18,18
19,-121.4572067,19,19
20,-121.5203609,20,20
21,-121.4423777,21,21
22,-121.423349,22,22
23,-121.5291027,23,23
24,-121.4560449,24,24
25,-121.4095243,25,25
26,-121.4332827,26,26
27,-121.4547389,27,27
28,-121.5123309,28,28
29,-121.4965602,29,29
30,-121.4375169,30,30
31,-121.5354477,31,31
32,-121.444642,32,32
33,-121.4767958,33,33
34,-121.3854286,34,34
35,-121.5215057,35,35
36,-121.5259008,36,36
37,-121.5187927,37,37
38,-121.484429,38,38
39,-121.4876958,39,39
40,-121.5341593,40,40
41,-121.4857344,41,41
42,-121.5370613,42,42
43,-121.4930384,43,43
44,-121.4978798,44,44
45,-121.4296507,45,45
46,-121.4577585,46,46
47,-121.434789,47,47
48,-121.4852542,48,48
49,-121.4776262,49,49
50,-121.4282497,50,50
51,-121.4740915,51,51
52,-121.5195294,52,52
53,-121.4265274,53,53
54,-121.5255605,54,54
55,-121.4661967,55,55
56,-121.4755269,56,56
57,-121.4333041,57,57
58,-121.4581933,58,58
59,-121.5051437,59,59
60,-121.470553,60,60
61,-121.4970836,61,61
62,-121.4106138,62,62
63,-121.4309007,63,63
64,-121.5264198,64,64
65,-121.4978986,65,65
66,-121.4737052,66,66
67,-121.4461653,67,67
68,-121.4258719,68,68
69,-121.427615,69,69
70,-121.4152799,70,70
71,-121.477826,71,71
72,-121.4226958,72,72
73,-121.4934272,73,73
74,-121.5059336,74,74
75,-121.4661214,75,75
76,-121.4473501,76,76
77,-121.4882896,77,77
78,-121.5287747,78,78
79,-121.456171,79,79
80,-121.4996944,80,80
81,-121.5226753,81,81
82,-121.4513773,82,82
83,-121.409083,83,83
84,-121.465448,84,84
85,-121.4563115,85,85
86,-121.5035491,86,86
87,-121.5088707,87,87
88,-121.443044,88,88
89,-121.4378491,89,89
90,-121.4923822,90,90
91,-121.4516767,91,91
92,-121.4619674,92,92
93,-121.4469794,93,93
94,-121.4368769,94,94
95,-121.4864344,95,95
96,-121.4368769,96,96
97,-121.5136898,97,97
98,-121.4692575,98,98
99,-121.4382569,99,99
100,-121.4678719,100,100
101,-121.4578062,101,101
102,-121.5104473,102,102
103,-121.4142712,103,103
104,-121.4392401,104,104
105,-121.4477394,105,105
106,-121.5412748,106,106
107,-121.4535351,107,107
108,-121.4534714,108,108
109,-121.5038615,109,109
110,-121.4213652,110,110
111,-121.4592772,111,111
112,-121.4709505,112,112
113,-121.4130509,113,113
114,-121.5282646,114,114
115,-121.4244182,115,115
116,-121.4761823,116,116
117,-121.5534498,117,117
118,-121.5286379,118,118
119,-121.4352821,119,119
120,-121.4903723,120,120
121,-121.513946,121,121
122,-121.5343434,122,122
123,-121.4444547,123,123
124,-121.4993798,124,124
125,-121.5411045,125,125
126,-121.4477394,126,126
127,-121.515833,127,127
128,-121.528707,128,128
129,-121.4106138,129,129
130,-121.5291389,130,130
131,-121.409084,131,131
132,-121.5119979,132,132
133,-121.4620361,133,133
134,-121.5068742,134,134
135,-121.431713,135,135
136,-121.4161718,136,136
137,-121.3882189,137,137
138,-121.456788,138,138
139,-121.500996,139,139
140,-121.4458147,140,140
141,-121.4477561,141,141
142,-121.5139339,142,142
143,-121.454378,143,143
144,-121.5014996,144,144
145,-121.5001978,145,145
146,-121.4974538,146,146
147,-121.4360926,147,147
148,-121.4858505,148,148
149,-121.422421,149,149
150,-121.3815598,150,150
151,-121.448306,151,151
152,-121.3902704,152,152
153,-121.462463,153,153
154,-121.4447319,154,154
155,-121.4304825,155,155
156,-121.4304773,156,156
157,-121.4244182,157,157
158,-121.42747,158,158
159,-121.4424469,159,159
160,-121.4990149,160,160
161,-121.440864,161,161
162,-121.3846125,162,162
163,-121.4313525,163,163
164,-121.5015786,164,164
165,-121.528,165,165
166,-121.5029735,166,166
167,-121.4613302,167,167
168,-121.5345401,168,168
169,-121.4712254,169,169
170,-121.5313723,170,170
171,-121.4852542,171,171
172,-121.4804148,172,172
173,-121.4990149,173,173
174,-121.4261249,174,174
175,-121.5055312,175,175
176,-121.4424398,176,176
177,-121.4969793,177,177
178,-121.4296995,178,178
179,-121.3940644,179,179
180,-121.3751255,180,180
181,-121.4242104,181,181
182,-121.4786515,182,182
183,-121.4953467,183,183
184,-121.4133413,184,184
185,-121.4838823,185,185
186,-121.4291448,186,186
187,-121.4129728,187,187
188,-121.4281542,188,188
189,-121.487454,189,189
190,-121.4902264,190,190
191,-121.4872296,191,191
192,-121.4438874,192,192
193,-121.4443121,193,193
194,-121.4590851,194,194
195,-121.4204494,195,195
196,-121.4728119,196,196
197,-121.4913716,197,197
198,-121.4258496,198,198
199,-121.4443121,199,199
200,-121.5223763,200,200
