ID,district,Feature3
1,1,1
2,5,2
3,2,3
4,2,4
5,3,5
6,4,6
7,5,7
8,3,8
9,2,9
10,1,10
11,6,11
12,6,12
13,4,13
14,3,14
15,6,15
16,6,16
17,6,17
18,3,18
19,6,19
20,4,20
21,5,21
22,2,22
23,4,23
24,2,24
25,5,25
26,6,26
27,5,27
28,4,28
29,5,29
30,2,30
31,4,31
32,2,32
33,3,33
34,6,34
35,4,35
36,1,36
37,1,37
38,3,38
39,3,39
40,1,40
41,1,41
42,1,42
43,3,43
44,3,44
45,6,45
46,2,46
47,6,47
48,3,48
49,4,49
50,6,50
51,4,51
52,4,52
53,5,53
54,4,54
55,3,55
56,1,56
57,6,57
58,5,58
59,3,59
60,3,60
61,3,61
62,3,62
63,6,63
64,1,64
65,1,65
66,3,66
67,5,67
68,5,68
69,5,69
70,2,70
71,5,71
72,2,72
73,1,73
74,3,74
75,6,75
76,2,76
77,3,77
78,1,78
79,2,79
80,5,80
81,1,81
82,5,82
83,6,83
84,3,84
85,2,85
86,1,86
87,1,87
88,5,88
89,6,89
90,4,90
91,3,91
92,5,92
93,6,93
94,5,94
95,3,95
96,5,96
97,4,97
98,3,98
99,2,99
100,3,100
101,2,101
102,1,102
103,6,103
104,2,104
105,2,105
106,4,106
107,2,107
108,2,108
109,1,109
110,2,110
111,5,111
112,6,112
113,2,113
114,1,114
115,2,115
116,3,116
117,4,117
118,4,118
119,2,119
120,1,120
121,1,121
122,4,122
123,2,123
124,1,124
125,1,125
126,2,126
127,4,127
128,1,128
129,3,129
130,1,130
131,3,131
132,1,132
133,6,133
134,4,134
135,2,135
136,5,136
137,3,137
138,5,138
139,3,139
140,6,140
141,6,141
142,4,142
143,2,143
144,3,144
145,5,145
146,3,146
147,5,147
148,3,148
149,2,149
150,2,150
151,5,151
152,3,152
153,2,153
154,2,154
155,2,155
156,5,156
157,2,157
158,2,158
159,2,159
160,4,160
161,2,161
162,2,162
163,3,163
164,5,164
165,1,165
166,3,166
167,5,167
168,1,168
169,6,169
170,4,170
171,3,171
172,4,172
173,4,173
174,2,174
175,1,175
176,2,176
177,1,177
178,5,178
179,3,179
180,3,180
181,2,181
182,3,182
183,1,183
184,5,184
185,3,185
186,5,186
187,6,187
188,2,188
189,1,189
190,3,190
191,3,191
192,6,192
193,6,193
194,2,194
195,2,195
196,6,196
197,4,197
198,2,198
199,6,199
